activity_id,activity_name,designation,fullName,name,parkCode,states,url
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Monument,African Burial Ground National Monument,African Burial Ground,afbg,NY,https://www.nps.gov/afbg/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Monument,Agate Fossil Beds National Monument,Agate Fossil Beds,agfo,NE,https://www.nps.gov/agfo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Monument,Alibates Flint Quarries National Monument,Alibates Flint Quarries,alfl,TX,https://www.nps.gov/alfl/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Historic Trail,Ala Kahakai National Historic Trail,Ala Kahakai,alka,HI,https://www.nps.gov/alka/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Historic Site,Allegheny Portage Railroad National Historic Site,Allegheny Portage Railroad,alpo,PA,https://www.nps.gov/alpo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,Park,American Memorial Park,American Memorial,amme,MP,https://www.nps.gov/amme/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Historic Site,Andrew Johnson National Historic Site,Andrew Johnson,anjo,TN,https://www.nps.gov/anjo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Historical Park,Appomattox Court House National Historical Park,Appomattox Court House,apco,VA,https://www.nps.gov/apco/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Park,Arches National Park,Arches,arch,UT,https://www.nps.gov/arch/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Memorial,Arkansas Post National Memorial,Arkansas Post,arpo,AR,https://www.nps.gov/arpo/index.htm
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,National Seashore,Assateague Island National Seashore,Assateague Island,asis,"MD,VA",https://www.nps.gov/asis/index.htm
