id,url,title,parkCode,description,category,lastIndexedDate
86FB5486-440A-4C07-B48C-55D530CF1511,,Park Main Phone Line Down; Call 270-969-1507,abli,The main park phone line is currently not working. To reach a Park Ranger please call: 270-969-1507.,Park Closure,2024-04-22 16:34:13.0
536EC9CB-A285-4601-AFF6-E49D9ABCA4B9,,Campground Closed for the Season,crmo,Lava Flow Campground closed to all for safety reasons while road maintenance takes place. Opening date pending road maintenance completion. Check back on Monday April 29.,Park Closure,2024-04-22 16:24:39.0
095EAAF6-7E07-4022-9D88-DB2F91A9AA31,,Palmetto Trail Closed,jela,"Due to recent structural failures, and for public safety, the Palmetto Trail has been closed indefinitely.",Caution,2024-04-22 15:46:36.0
522218FF-8FAE-467B-A221-8E0E57EE6A0D,https://www.nps.gov/shen/planyourvisit/drinking-water.htm,South River Picnic & Dundo Picnic Grounds Water Alert,shen,Water is not available at South River and Dundo Picnic Grounds. Fires and grills are not permitted at these two locations.,Caution,2024-04-22 15:31:08.0
BAF6F36C-55A3-4F46-9F78-A2463E535D84,,Summer 2024 visitor contact station days and hours of operation.,wrst,"Wrangell-St. Elias Visitor Center 5/13-9/15 daily 9-5; Slana Ranger Station 5/24-9/21 daily 9-5; Chitina Ranger Station 5/24-8/31 Fridays and Saturdays, 9-5; Kennecott Visitor Center 5/24-9/6 daily - hours vary. Call 907-822-7250 for more information",Information,2024-04-22 15:27:37.0
75487057-E4F6-4A96-9E5F-71A40F272B2F,https://www.nps.gov/grca/planyourvisit/key-messages.htm,"Monday, April 22, 2024 - Sunny Today: South Rim High 79°F (26°C) Phantom Ranch 91°F (32°C)",grca,Bright Angel Trail water is on at Havasupai Gardens; water remains off at 1.5 and 3-Mile Resthouses. No potable water at Phantom Ranch or North Kaibab Trail due to a waterline break. Water treatment is required. Visit link for details.,Park Closure,2024-04-22 13:35:05.0
8CE7A079-A4E5-429F-B8E2-9441E5B005BA,,Zzyzx Road Construction Delays Possible,moja,Road repairs will be conducted along Zzyzx Rd 4-22 and 4-23. Delays possible.,Caution,2024-04-22 13:02:50.0
D94C910A-0B85-431F-BA96-7AD4EC6AD264,,Phleger Estate Miramontes Trail Closed for Public Safety January 2022 Until Trail is Replaced,goga,"Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.",Information,2024-04-22 12:54:37.0
FFECD9B4-772E-43C7-9E23-88F9AD3F659F,https://presidio.gov/about/sustainability/coyotes-in-the-presidio,Presidio Trust Managed Trails Annual Temporary Closure for Coyote Breeding Season,goga,"To reduce the potential for coyote/dog conflict, Presidio Trust has proactively closed large sections of the Park Trail and the Bay Area Ridge Trail to dog walking. Trails will reopen to dog walking in fall after pupping season ends. See link for more.",Information,2024-04-22 12:52:59.0
E9E341A2-0870-4229-AB76-D55EC3822275,https://www.parksconservancy.org/projects/china-beach,China Beach Very Limited Parking Spring 2024,goga,A majority of the parking lot will be closed for a multi-phase project. Access to the beach will remain open. The first phase is expected to be complete in early 2024. See link for more.,Information,2024-04-22 12:50:24.0
