parkCode,cashless,contentOrderOrdinals,customFeeDescription,customFeeHeading,customFeeLinkText,customFeeLinkUrl,entranceFeeDescription,entrancePassDescription,fees,feesAtWorkUrl,isFeeFreePark,isInteragencyPassAccepted,isParkingFeePossible,isParkingOrTransportationFeePossible,paidParkingDescription,paidParkingHeading,parkCode,parkingDetailsUrl,passes,relatedMultiSitePasses,timedEntryDescription,timedEntryHeading
abli,No,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,"Abraham Lincoln Birthplace National Historical Park is free, and has no associated fees.","Abraham Lincoln Birthplace National Historical Park is free, and does not require an entrance pass.",[],,True,False,False,False,,,abli,,[],[],,
acad,Depends on Location,"{'entranceFee': 1, 'timedEntry': 2, 'paidParking': 3, 'customFee': 4}",,,,,"A park entrance pass is required year-round at Acadia National Park. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present. A separate vehicle reservation is also required to drive Cadillac Summit Road from mid-May into October. Vehicle reservations are only sold online in advance and are not available for purchase at the park. In addition to NPS locations in visitor centers and campgrounds, entrance passes are also available for purchase in-person at third-party sellers. These locations are not operated by the NPS and do not offer federal lands passes -- * Jordan Pond Gift Shop * Acadia Regional Chamber of Commerce at Thompson Island * Bar Harbor Chamber of Commerce, Cottage Street * Ellsworth Chamber of Commerce * Mount Desert Chamber of Commerce * Southwest Harbor/Tremont Chamber of Commerce","A park entrance pass is required year-round. All vehicles must display a pass clearly visible through the windshield. Display federal lands passes, such as annual and military passes, on your dashboard with the signature and expiration date facing up. Passes are non-transferable and passholder must be present.","[{'entranceFeeType': 'Timed Entry Reservation - Location', 'startDate': {'month': 5, 'holiday': None, 'day': 22}, 'paymentDescription': 'Vehicle reservations cost $6. They are only sold online in advance at Recreation.gov. They are not available for purchase at the park. In addition to purchasing a vehicle reservation for Cadillac Summit Road, vehicles must display a park entrance pass through the windshield. Park entrance passes are available at the park or online at Recreation.gov. Print or save a digital copy of the QR Code that comes with the vehicle reservation confirmation email. It will be scanned to verify the reservation.', 'recGovPurchaseUrl': 'https://www.recreation.gov/timed-entry/400000', 'timedEntryLocation': 'Cadillac Summit Road Vehicle Reservations', 'endDate': {'month': 10, 'holiday': None, 'day': 27}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '6.00', 'timedEntryShortDescription': 'Required to drive Cadillac Summit Road', 'description': 'Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 10 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/vehicle_reservations.htm', 'id': 'B0ACE361-8899-4098-A238-18BA39FD67C2', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Entrance - Private Vehicle', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '35.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle pass is purchased, no other pass is necessary.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': '94E30640-D3B6-40D4-9949-07C63CFE636C', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Motorcycle', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '30.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits one or two passengers on a private, non-commercial motorcycle.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': 'A6D7D0BD-5064-4018-ACA6-471AAC4B8301', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Per Person', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': 'Credit/debit card preferred.\n\nThree types of weekly passes (Vehicle, Motorcycle, Individual) may be purchased by credit card from automated fee machines available year-round 24 hours a day --\n* One is located at a pavilion in the parking lot the Hulls Cove Visitor Center.\n* Another is available inside a gatehouse at the entrance to the Schoodic Institute on the Schoodic Peninsula.', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '20.00', 'timedEntryShortDescription': '', 'description': 'Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': 'CE8B4FBB-3410-49D1-97DF-B4F019CDD058', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}, {'entranceFeeType': 'Entrance - Education/Academic Groups', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups.', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/feewaivers.htm', 'id': 'BBA5FD20-F7E2-4185-84E9-CECEAB42C43B', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Entrance - Non-commercial Groups', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.\n\nAdults (16 years old and over): $20/per person\nYouth (15 years old and under): Free', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'id': '8B5FB8A4-46C0-43A1-BCEF-3D8D35E1A89F', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Commercial Entrance - Per Person', 'startDate': {'month': 1, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 12, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '0.00', 'timedEntryShortDescription': '', 'description': 'Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.\n\nA commercial group is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provisions of the service. Learn more on our ""Do Business With Us"" page.', 'informationUrl': 'https://www.nps.gov/acad/getinvolved/dobusinesswithus.htm', 'id': '46D75731-D4BF-45DE-88FC-54C93ADBB9AB', 'npsGovPurchaseUrl': ''}]",https://www.nps.gov/acad/planyourvisit/fees.htm,False,True,False,False,,,acad,,"[{'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '70.00', 'image': [{'credit': 'Photo courtesy of visitor Gordon Grisinger', 'title': '2024 Acadia Annual Pass', 'altText': 'Landscape photo of a grove of birch trees with white bark and yellow leaves in autumn', 'caption': '2024 Acadia Annual Pass', 'url': 'https://www.nps.gov/common/uploads/entrance_pass/A2EFE238-B681-6332-7574A8F7F96AB4E9.jpg'}], 'description': 'The Acadia Annual Pass is valid only at Acadia and may be purchased online or in person. You do not need an additional entrance pass if you already have a federal lands pass. It is valid for 12 months from purchase month. This pass admits the pass holder and passengers in a non-commercial vehicle.\n\nIn addition to park visitor centers and campgrounds, the Acadia Annual Pass is available at the Acadia Regional Chamber at Thompson Island, and at Bar Harbor, Ellsworth and Southwest Harbor chambers of commerce.', 'paymentDescription': '', 'category': 'Annual Entrance - Park', 'informationUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm', 'recGovPurchaseUrl': 'https://www.recreation.gov/sitepass/74271', 'id': 'F647C604-6000-4454-A9FB-6147436E8A7C', 'npsGovPurchaseUrl': 'https://www.nps.gov/acad/planyourvisit/fees.htm'}]",[],"Vehicle reservations are not required for any other areas of the park, or for visitors who enter the area by foot, bike, or taxi. Vehicle reservations provide a timed entry, but do not require a departure time until 10 pm, when the road closes to vehicles. Reservations do not permit re-entry. Reservations are per vehicle, not per person. Reservations do not assign a specific parking space. Parking is prohibited outside of designated spaces. Cadillac is not served by the Island Explorer bus system.",Cadillac Summit Road Vehicle Reservations Reservation
adam,Yes,"{'entranceFee': 1, 'timedEntry': 2, 'paidParking': 3, 'customFee': 4}",,,,,"Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Tours can be reserved online in advance at recreation.gov or in-person on the day of your visit at the park’s visitor center. Tour reservations are required in addition to entrance passes.","Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov. This pass is good for 12 months following the purchase of the pass. Tickets are still required to enter the park, but the digital annual pass will ensure the passholder free entry into the park. The pass costs $45.","[{'entranceFeeType': 'Timed Entry Reservation - Location', 'startDate': {'month': 5, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': 'https://www.recreation.gov/ticket/facility/300003', 'timedEntryLocation': 'Advanced Tour', 'endDate': {'month': 10, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '1.00', 'timedEntryShortDescription': '', 'description': ""The park offers tours of the historic homes. A reservation is required to attend a guided tour. It is strongly recommended to make reservations in advance on Adams National Historical Park's Recreation.gov page. A limited number of reservations will be available day-of for free on a first-come, first-served basis at the Visitor Center."", 'informationUrl': 'https://www.recreation.gov/ticket/facility/300003', 'id': '3731EBA3-EF53-403B-8C27-F02EBA8D5CEB', 'npsGovPurchaseUrl': ''}, {'entranceFeeType': 'Entrance - Per Person', 'startDate': {'month': 5, 'holiday': None, 'day': 1}, 'paymentDescription': '', 'recGovPurchaseUrl': '', 'timedEntryLocation': '', 'endDate': {'month': 10, 'holiday': None, 'day': 31}, 'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '15.00', 'timedEntryShortDescription': '', 'description': 'Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Beautiful Interagency Pass, you do not need to pay the entrance fee. Tours can be reserved online in advance at recreation.gov or in-person on the day of your visit at the park’s visitor center. Tour reservations are required in addition to entrance passes.', 'informationUrl': '', 'id': 'E08949D2-8971-43EF-B9F1-27CB13016466', 'npsGovPurchaseUrl': ''}]",https://www.nps.gov/adam/learn/management/yourdollarsatwork.htm,False,True,False,False,,,adam,,"[{'exceptions': '', 'payGovPurchaseUrl': '', 'cost': '45.00', 'image': [{'credit': 'NPS Photo', 'title': 'Old House and Peace Field Garden', 'altText': 'A gray, stone pathway, leads to the Stone Library and Old House', 'caption': 'A gray, stone pathway, leads to the Stone Library and Old House', 'url': 'https://www.nps.gov/common/uploads/entrance_pass/8483234E-CF96-868E-214766695ABBE23A.jpg'}], 'description': 'Adams National Historical Park has a digital annual pass available for purchase on Recreation.gov.  This pass is good for 12 months following the purchase of the pass.  Tickets are still required to enter the park, but the digital annual pass will ensure the passholder free entry into the park.  The pass costs $45.', 'paymentDescription': '', 'category': 'Annual Entrance - Park', 'informationUrl': '', 'recGovPurchaseUrl': '', 'id': 'DF9A61D1-3D4D-4C16-BDA4-6CEEBCDCD50C', 'npsGovPurchaseUrl': ''}]",[],,
afam,Depends on Location,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,,,[],,True,False,True,True,,,afam,https://www.nps.gov/nama/planyourvisit/parking.htm,[],[],,
afbg,,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,,,[],,True,False,False,False,,,afbg,,[],[],,
agfo,,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,,,[],,True,False,False,False,,,agfo,,[],[],,
alag,,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,,,[],,True,False,False,False,,,alag,,[],[],,
alca,No,"{'entranceFee': 1, 'timedEntry': 3, 'paidParking': 2, 'customFee': 4}",,,,,"Visiting Alcatraz Island is one of the most rewarding experiences of any trip to San Francisco. However, visitors who wish to visit the prison and island grounds must secure reservations. For over a decade, the National Park Service has implemented a reservation system, which is much different from the ways past generations accessed the Alcatraz Island. The National Park Service strongly recommends making advanced ticket reservations. Reservations secured far enough in advance allow visitors to visit and also eliminate the need to wait in line to purchase tickets. Alcatraz tickets are all inclusive. The ticket price includes the ferry transportation service provided by Alcatraz City Cruises, the cellhouse audio tour provided by the Golden Gate National Parks Conservancy, and the Federal Lands Recreation Enhancement Act fee. For additional information on schedules, prices, and to purchase tickets in advance (tickets are made available about 90 days in advance) please visit the Alcatraz City Cruises.",,[],,True,False,True,True,,,alca,https://www.alcatrazcitycruises.com,[],[],,
aleu,,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,"This unit is on private land owned by the Ounalashka Corporation. To visit the historic area, you need to purchase a permit. Visitors can purchase these permits by calling the corporation at (907) 581-1276, or by visiting the corporation Monday - Friday at 400 Salmon Way. Permits can also be purchased at the visitor center. The cost for a permit is as follows: Type of permit Daily $6 (individual) $10 (family) Weekly $15 (individual) $20 (family) Annual $60 (individual) $80 (family) Visitor passes for the World War II Visitor Center are free to veterans, $2 for active military and seniors over age 55 and $5 for all others.",,[],,True,False,False,False,,,aleu,,[],[],,
alfl,No,"{'entranceFee': 1, 'timedEntry': 1, 'paidParking': 1, 'customFee': 4}",,,,,,,[],,True,False,False,False,,,alfl,,[],[],,
